name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Mohamed Camara,6.0,0.0,1.0,0.0,3.0,3.0,Pivote,AS Mónaco,Ligue 1,25.0,Ligue 1,AS Mónaco,Malí,29.0,23.0
Salis Abdul Samed,6.0,0.0,1.0,1.0,1.0,2.0,Pivote,,,,Ligue 1,RC Lens,Ghana,33.0,23.0
Samuel Gigot,3.0,1.0,1.0,2.0,2.0,4.0,Defensa central,,,,Ligue 1,Olympique de Marsella,Francia,26.0,29.0
Mounaïm El Idrissy,10.0,0.0,0.0,,,,Delantero centro,,,,Ligue 1,AC Ajaccio,Francia,32.0,
Oumar Gonzalez,10.0,0.0,0.0,,,,Defensa central,,,,Ligue 1,AC Ajaccio,Camerún,30.0,
Jens Cajuste,7.0,1.0,0.0,3.0,1.0,4.0,Mediocentro,,,,Ligue 1,Stade de Reims,Suecia,31.0,23.0
Amos Pieper,9.0,0.0,0.0,2.0,1.0,3.0,Defensa central,,,,Bundesliga,SV Werder Bremen,Alemania,29.0,25.0
Djibril Sow,9.0,0.0,0.0,4.0,0.0,4.0,Mediocentro,Sevilla FC,LaLiga,18.0,Bundesliga,Eintracht Fráncfort​​,Suiza,32.0,26.0
Niklas Stark,9.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,SV Werder Bremen,Alemania,27.0,
Castello Lukeba,7.0,1.0,0.0,2.0,0.0,2.0,Defensa central,RB Leipzig,Bundesliga,40.0,Ligue 1,Olympique de Lyon,Francia,34.0,20.0
Filip Uremovic,6.0,1.0,0.0,,,,Defensa central,,,,Bundesliga,Hertha Berlín,Croacia,22.0,
Marco Richter,8.0,0.0,0.0,6.0,5.0,11.0,Mediocentro ofensivo,,,,Bundesliga,Hertha Berlín,Alemania,29.0,25.0
Tom Krauß,8.0,0.0,0.0,2.0,0.0,2.0,Mediocentro,,,,Bundesliga,FC Schalke 04,Alemania,32.0,21.0
Sebastiaan Bornauw,8.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Bundesliga,VfL Wolfsburgo,Bélgica,26.0,24.0
Rani Khedira,8.0,0.0,0.0,2.0,0.0,2.0,Pivote,,,,Bundesliga,1.FC Unión Berlín,Alemania,33.0,29.0
Maximilian Bauer,8.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,Bundesliga,FC Augsburgo,Alemania,27.0,23.0
Timo Hübers,8.0,0.0,0.0,3.0,0.0,3.0,Defensa central,,,,Bundesliga,FC Colonia,Alemania,29.0,26.0
Konrad Laimer,8.0,0.0,0.0,3.0,0.0,3.0,Mediocentro,Bayern Múnich,Bundesliga,28.0,Bundesliga,RB Leipzig,Austria,21.0,26.0
Jude Bellingham,8.0,0.0,0.0,8.0,5.0,13.0,Mediocentro ofensivo,Real Madrid CF,LaLiga,180.0,Bundesliga,Borussia Dortmund,Inglaterra,31.0,19.0
Dodi Lukébakio,8.0,0.0,0.0,11.0,4.0,15.0,Extremo derecho,Sevilla FC,LaLiga,15.0,Bundesliga,Hertha Berlín,Bélgica,32.0,25.0
Emre Can,8.0,0.0,0.0,2.0,1.0,3.0,Pivote,,,,Bundesliga,Borussia Dortmund,Alemania,27.0,29.0
Robert Andrich,8.0,0.0,0.0,2.0,2.0,4.0,Mediocentro,,,,Bundesliga,Bayer 04 Leverkusen,Alemania,29.0,28.0
Tuta,8.0,0.0,0.0,2.0,1.0,3.0,Defensa central,,,,Bundesliga,Eintracht Fráncfort​​,Brasil,31.0,23.0
Kevin Kampl,8.0,0.0,0.0,2.0,2.0,4.0,Mediocentro,,,,Bundesliga,RB Leipzig,Eslovenia,30.0,32.0
Benjamin Henrichs,8.0,0.0,0.0,2.0,3.0,5.0,Lateral derecho,RB Leipzig,Bundesliga,20.0,Bundesliga,RB Leipzig,Alemania,30.0,26.0
Kevin Vogt,8.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,TSG 1899 Hoffenheim,Alemania,22.0,
Ramy Bensebaini,5.0,1.0,0.0,6.0,1.0,7.0,Lateral izquierdo,,,,Bundesliga,Borussia Mönchengladbach,Argelia,28.0,28.0
Florian Kainz,5.0,1.0,0.0,6.0,10.0,16.0,Mediocentro ofensivo,,,,Bundesliga,FC Colonia,Austria,32.0,30.0
Felix Uduokhai,3.0,0.0,1.0,,,,Defensa central,,,,Bundesliga,FC Augsburgo,Alemania,19.0,
Munas Dabbur,3.0,0.0,1.0,6.0,2.0,8.0,Delantero centro,,,,Bundesliga,TSG 1899 Hoffenheim,Israel,21.0,31.0
Dominick Drexler,3.0,0.0,1.0,4.0,3.0,7.0,Mediocentro ofensivo,,,,Bundesliga,FC Schalke 04,Alemania,27.0,33.0
Patrick Wimmer,7.0,0.0,0.0,4.0,8.0,12.0,Extremo derecho,VfL Wolfsburgo,Bundesliga,18.0,Bundesliga,VfL Wolfsburgo,Austria,26.0,21.0
Christoph Baumgartner,7.0,0.0,0.0,7.0,7.0,14.0,Mediocentro ofensivo,RB Leipzig,Bundesliga,24.0,Bundesliga,TSG 1899 Hoffenheim,Austria,33.0,23.0
Amadou Haidara,7.0,0.0,0.0,2.0,2.0,4.0,Mediocentro,RB Leipzig,Bundesliga,17.0,Bundesliga,RB Leipzig,Malí,31.0,25.0
Paulo Otávio,7.0,0.0,0.0,0.0,5.0,5.0,Lateral izquierdo,,,,Bundesliga,VfL Wolfsburgo,Brasil,25.0,28.0
Mitchell Weiser,7.0,0.0,0.0,2.0,10.0,12.0,Interior derecho,,,,Bundesliga,SV Werder Bremen,Alemania,30.0,29.0
Agustín Rogel,7.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,Hertha Berlín,Uruguay,20.0,
Suat Serdar,7.0,0.0,0.0,4.0,2.0,6.0,Mediocentro,,,,Bundesliga,Hertha Berlín,Alemania,32.0,26.0
Mitchel Bakker,4.0,1.0,0.0,3.0,2.0,5.0,Interior izquierdo,,,,Bundesliga,Bayer 04 Leverkusen,Países Bajos,28.0,22.0
Randal Kolo Muani,4.0,1.0,0.0,15.0,14.0,29.0,Delantero centro,París Saint-Germain FC,Ligue 1,70.0,Bundesliga,Eintracht Fráncfort​​,Francia,32.0,24.0
Iago,4.0,1.0,0.0,0.0,2.0,2.0,Lateral izquierdo,,,,Bundesliga,FC Augsburgo,Brasil,22.0,26.0
Joshua Kimmich,4.0,1.0,0.0,5.0,6.0,11.0,Pivote,Bayern Múnich,Bundesliga,75.0,Bundesliga,Bayern Múnich,Alemania,33.0,28.0
Luca Kilian,1.0,2.0,0.0,1.0,0.0,1.0,Defensa central,,,,Bundesliga,FC Colonia,Alemania,16.0,23.0
Alexander Hack,2.0,0.0,1.0,,,,Defensa central,,,,Bundesliga,1.FSV Mainz 05,Alemania,19.0,
Stanley Nsoki,2.0,0.0,1.0,1.0,0.0,1.0,Defensa central,,,,Bundesliga,TSG 1899 Hoffenheim,Francia,19.0,24.0
Ridle Baku,6.0,0.0,0.0,5.0,3.0,8.0,Lateral derecho,,,,Bundesliga,VfL Wolfsburgo,Alemania,33.0,25.0
Mads Pedersen,6.0,0.0,0.0,,,,Lateral izquierdo,,,,Bundesliga,FC Augsburgo,Dinamarca,28.0,
Benjamin Pavard,6.0,0.0,0.0,4.0,1.0,5.0,Defensa central,Inter de Milán,Serie A,40.0,Bundesliga,Bayern Múnich,Francia,30.0,27.0
Maximilian Eggestein,6.0,0.0,0.0,1.0,2.0,3.0,Mediocentro,,,,Bundesliga,SC Friburgo,Alemania,31.0,26.0
Julian Weigl,6.0,0.0,0.0,1.0,1.0,2.0,Pivote,,,,Bundesliga,Borussia Mönchengladbach,Alemania,23.0,27.0
Michael Gregoritsch,6.0,0.0,0.0,10.0,5.0,15.0,Delantero centro,,,,Bundesliga,SC Friburgo,Austria,30.0,29.0
Jonathan Tah,6.0,0.0,0.0,1.0,0.0,1.0,Defensa central,Bayer 04 Leverkusen,Bundesliga,25.0,Bundesliga,Bayer 04 Leverkusen,Alemania,33.0,27.0
Nadiem Amiri,6.0,0.0,0.0,4.0,1.0,5.0,Mediocentro,,,,Bundesliga,Bayer 04 Leverkusen,Alemania,25.0,26.0
Danilo Soares,6.0,0.0,0.0,,,,Lateral izquierdo,,,,Bundesliga,VfL Bochum,Brasil,23.0,
Sebastian Rode,6.0,0.0,0.0,4.0,1.0,5.0,Mediocentro,,,,Bundesliga,Eintracht Fráncfort​​,Alemania,27.0,32.0
Mario Götze,6.0,0.0,0.0,3.0,2.0,5.0,Mediocentro ofensivo,,,,Bundesliga,Eintracht Fráncfort​​,Alemania,32.0,30.0
Roland Sallai,6.0,0.0,0.0,1.0,5.0,6.0,Extremo derecho,,,,Bundesliga,SC Friburgo,Hungría,19.0,26.0
