name,yellow,second_yellow,red,goals,assists,g/a,position,actual_team,actual_league,value,player_league,player_team,player_nationality,appearances,age
Stefan Posch,6.0,0.0,0.0,6.0,2.0,8.0,Lateral derecho,,,,Serie A,Bolonia,Austria,30.0,26.0
Josha Vagnoman,1.0,1.0,0.0,2.0,2.0,4.0,Lateral derecho,,,,Bundesliga,VfB Stuttgart,Alemania,23.0,22.0
Naouirou Ahamada,1.0,1.0,0.0,2.0,2.0,4.0,Mediocentro,,,,Bundesliga,VfB Stuttgart,Francia,17.0,20.0
Naouirou Ahamada,1.0,0.0,0.0,2.0,2.0,4.0,Mediocentro,,,,Premier League,Crystal Palace,Francia,8.0,20.0
Jonjoe Kenny,3.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Bundesliga,Hertha Berlín,Inglaterra,29.0,26.0
Lukas Nmecha,3.0,0.0,0.0,4.0,1.0,5.0,Delantero centro,,,,Bundesliga,VfL Wolfsburgo,Alemania,16.0,24.0
Matthias Ginter,3.0,0.0,0.0,4.0,1.0,5.0,Defensa central,SC Friburgo,Bundesliga,15.0,Bundesliga,SC Friburgo,Alemania,34.0,29.0
Philipp Lienhart,3.0,0.0,0.0,1.0,0.0,1.0,Defensa central,SC Friburgo,Bundesliga,20.0,Bundesliga,SC Friburgo,Austria,29.0,26.0
Aurélio Buta,3.0,0.0,0.0,3.0,3.0,6.0,Lateral derecho,,,,Bundesliga,Eintracht Fráncfort​​,Portugal,18.0,26.0
André Silva,3.0,0.0,0.0,4.0,4.0,8.0,Delantero centro,,,,Bundesliga,RB Leipzig,Portugal,31.0,27.0
Wataru Endo,3.0,0.0,0.0,5.0,5.0,10.0,Pivote,,,,Bundesliga,VfB Stuttgart,Japón,33.0,30.0
Aarón Martín,3.0,0.0,0.0,5.0,3.0,8.0,Lateral izquierdo,,,,Bundesliga,1.FSV Mainz 05,España,28.0,26.0
Alex Kral,3.0,0.0,0.0,,,,Pivote,,,,Bundesliga,FC Schalke 04,República Checa,29.0,
Sebastian Polter,3.0,0.0,0.0,2.0,2.0,4.0,Delantero centro,,,,Bundesliga,FC Schalke 04,Alemania,19.0,32.0
Romano Schmid,3.0,0.0,0.0,1.0,3.0,4.0,Mediocentro ofensivo,,,,Bundesliga,SV Werder Bremen,Austria,27.0,23.0
Nico Schlotterbeck,3.0,0.0,0.0,4.0,5.0,9.0,Defensa central,Borussia Dortmund,Bundesliga,35.0,Bundesliga,Borussia Dortmund,Alemania,28.0,23.0
Niklas Schmidt,3.0,0.0,0.0,3.0,0.0,3.0,Mediocentro ofensivo,,,,Bundesliga,SV Werder Bremen,Alemania,24.0,25.0
Dejan Ljubicic,3.0,0.0,0.0,5.0,1.0,6.0,Pivote,,,,Bundesliga,FC Colonia,Austria,27.0,25.0
Renato Veiga,3.0,0.0,0.0,,,,Pivote,,,,Bundesliga,FC Augsburgo,Portugal,13.0,
Luis Muriel,1.0,1.0,1.0,3.0,4.0,7.0,Delantero centro,,,,Serie A,Atalanta de Bérgamo,Colombia,29.0,32.0
Jhon Lucumí,8.0,0.0,0.0,0.0,2.0,2.0,Defensa central,,,,Serie A,Bolonia,Colombia,33.0,24.0
Alessandro Buongiorno,8.0,0.0,0.0,1.0,2.0,3.0,Defensa central,Torino FC,Serie A,22.0,Serie A,Torino FC,Italia,34.0,23.0
M'Bala Nzola,8.0,0.0,0.0,13.0,2.0,15.0,Delantero centro,,,,Serie A,Spezia,Angola,31.0,26.0
Alexis Blin,8.0,0.0,0.0,1.0,0.0,1.0,Pivote,,,,Serie A,US Lecce,Francia,35.0,26.0
Marcelo Brozovic,8.0,0.0,0.0,3.0,5.0,8.0,Pivote,,,,Serie A,Inter de Milán,Croacia,28.0,30.0
Manuel Lazzari,8.0,0.0,0.0,0.0,1.0,1.0,Interior derecho,,,,Serie A,SS Lazio,Italia,28.0,29.0
Rafael Tolói,8.0,0.0,0.0,2.0,1.0,3.0,Defensa central,,,,Serie A,Atalanta de Bérgamo,Italia,32.0,32.0
Karol Linetty,8.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,Serie A,Torino FC,Polonia,32.0,28.0
Manuel Locatelli,8.0,0.0,0.0,0.0,2.0,2.0,Pivote,Juventus de Turín,Serie A,33.0,Serie A,Juventus de Turín,Italia,32.0,25.0
Wilfried Singo,8.0,0.0,0.0,2.0,2.0,4.0,Lateral derecho,,,,Serie A,Torino FC,Costa de Marfil,31.0,22.0
Rade Krunic,8.0,0.0,0.0,0.0,1.0,1.0,Pivote,,,,Serie A,AC Milan,Bosnia y Herzegovina,23.0,29.0
Samuel Umtiti,8.0,0.0,0.0,,,,Defensa central,,,,Serie A,US Lecce,Francia,25.0,
Samuele Birindelli,8.0,0.0,0.0,0.0,2.0,2.0,Lateral derecho,,,,Serie A,AC Monza,Italia,31.0,23.0
Stefano Sensi,8.0,0.0,0.0,3.0,2.0,5.0,Mediocentro,,,,Serie A,AC Monza,Italia,28.0,27.0
Rolando Mandragora,8.0,0.0,0.0,2.0,4.0,6.0,Pivote,,,,Serie A,Fiorentina,Italia,29.0,25.0
Joan González,8.0,0.0,0.0,1.0,3.0,4.0,Mediocentro,,,,Serie A,US Lecce,España,35.0,21.0
Rafael Leão,5.0,1.0,0.0,15.0,10.0,25.0,Extremo izquierdo,AC Milan,Serie A,90.0,Serie A,AC Milan,Portugal,35.0,23.0
Kelvin Amian,5.0,1.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Serie A,Spezia,Francia,30.0,25.0
Zeki Çelik,5.0,1.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Serie A,AS Roma,Turquía,24.0,26.0
Andrea Pinamonti,3.0,0.0,1.0,5.0,1.0,6.0,Delantero centro,US Sassuolo,Serie A,15.0,Serie A,US Sassuolo,Italia,32.0,24.0
Danilo D'Ambrosio,3.0,0.0,1.0,0.0,2.0,2.0,Defensa central,,,,Serie A,Inter de Milán,Italia,15.0,34.0
Gianluca Mancini,7.0,0.0,0.0,1.0,2.0,3.0,Defensa central,AS Roma,Serie A,20.0,Serie A,AS Roma,Italia,35.0,27.0
Kingsley Ehizibue,7.0,0.0,0.0,2.0,0.0,2.0,Lateral derecho,,,,Serie A,Udinese,Países Bajos,27.0,27.0
Teun Koopmeiners,7.0,0.0,0.0,10.0,4.0,14.0,Pivote,Atalanta de Bérgamo,Serie A,40.0,Serie A,Atalanta de Bérgamo,Países Bajos,33.0,25.0
Theo Hernández,7.0,0.0,0.0,4.0,3.0,7.0,Lateral izquierdo,AC Milan,Serie A,55.0,Serie A,AC Milan,Francia,32.0,25.0
Roberto Pereyra,7.0,0.0,0.0,5.0,8.0,13.0,Mediocentro,,,,Serie A,Udinese,Argentina,34.0,32.0
Răzvan Marin,7.0,0.0,0.0,2.0,4.0,6.0,Mediocentro,,,,Serie A,FC Empoli,Rumania,33.0,26.0
Domenico Berardi,7.0,0.0,0.0,12.0,7.0,19.0,Extremo derecho,US Sassuolo,Serie A,20.0,Serie A,US Sassuolo,Italia,26.0,28.0
Simone Bastoni,7.0,0.0,0.0,2.0,5.0,7.0,Mediocentro,,,,Serie A,Spezia,Italia,19.0,26.0
Marten de Roon,7.0,0.0,0.0,3.0,3.0,6.0,Pivote,,,,Serie A,Atalanta de Bérgamo,Países Bajos,35.0,32.0
Hans Hateboer,7.0,0.0,0.0,1.0,1.0,2.0,Interior derecho,,,,Serie A,Atalanta de Bérgamo,Países Bajos,17.0,29.0
Chris Smalling,7.0,0.0,0.0,3.0,1.0,4.0,Defensa central,,,,Serie A,AS Roma,Inglaterra,32.0,33.0
Giorgio Scalvini,7.0,0.0,0.0,2.0,1.0,3.0,Defensa central,Atalanta de Bérgamo,Serie A,40.0,Serie A,Atalanta de Bérgamo,Italia,32.0,19.0
Davide Faraoni,7.0,0.0,0.0,2.0,3.0,5.0,Lateral derecho,,,,Serie A,Hellas Verona,Italia,23.0,31.0
Johan Vásquez,7.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Serie A,US Cremonese,México,25.0,24.0
Albin Ekdal,4.0,1.0,0.0,0.0,2.0,2.0,Pivote,,,,Serie A,Spezia,Suecia,31.0,33.0
Adama Soumaoro,4.0,1.0,0.0,,,,Defensa central,,,,Serie A,Bolonia,Francia,23.0,
Milan Skriniar,4.0,1.0,0.0,,,,Defensa central,París Saint-Germain FC,Ligue 1,45.0,Serie A,Inter de Milán,Eslovaquia,21.0,28.0
Jeison Murillo,4.0,1.0,0.0,,,,Defensa central,,,,Serie A,UC Sampdoria,Colombia,20.0,
Federico Fazio,2.0,0.0,1.0,1.0,0.0,1.0,Defensa central,,,,Serie A,US Salernitana 1919,Argentina,14.0,36.0
Mário Rui,2.0,0.0,1.0,0.0,7.0,7.0,Lateral izquierdo,,,,Serie A,SSC Nápoles,Portugal,22.0,32.0
Federico Di Francesco,6.0,0.0,0.0,2.0,3.0,5.0,Extremo izquierdo,,,,Serie A,US Lecce,Italia,36.0,28.0
Nicolò Barella,6.0,0.0,0.0,6.0,7.0,13.0,Mediocentro,Inter de Milán,Serie A,75.0,Serie A,Inter de Milán,Italia,35.0,26.0
Samuele Ricci,6.0,0.0,0.0,2.0,1.0,3.0,Pivote,Torino FC,Serie A,20.0,Serie A,Torino FC,Italia,28.0,21.0
Federico Baschirotto,6.0,0.0,0.0,3.0,1.0,4.0,Defensa central,,,,Serie A,US Lecce,Italia,37.0,26.0
Manuel Riemann,3.0,0.0,0.0,,,,Portero,,,,Bundesliga,VfL Bochum,Alemania,34.0,
Jordan,3.0,0.0,0.0,4.0,3.0,7.0,Delantero centro,,,,Bundesliga,1.FC Unión Berlín,Estados Unidos,31.0,27.0
Felix Nmecha,3.0,0.0,0.0,3.0,6.0,9.0,Mediocentro,Borussia Dortmund,Bundesliga,25.0,Bundesliga,VfL Wolfsburgo,Alemania,30.0,22.0
Patrick Osterhage,3.0,0.0,0.0,,,,Mediocentro,,,,Bundesliga,VfL Bochum,Alemania,23.0,
Jean-Paul Boëtius,3.0,0.0,0.0,,,,Mediocentro ofensivo,,,,Bundesliga,Hertha Berlín,Países Bajos,21.0,
Morten Thorsby,3.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,,,,Bundesliga,1.FC Unión Berlín,Noruega,24.0,27.0
Tanguy Coulibaly,3.0,0.0,0.0,4.0,0.0,4.0,Extremo derecho,,,,Bundesliga,VfB Stuttgart,Francia,14.0,22.0
Kevin-Prince Boateng,3.0,0.0,0.0,,,,Mediocentro ofensivo,,,,Bundesliga,Hertha Berlín,Ghana,16.0,
Andrej Kramaric,3.0,0.0,0.0,12.0,3.0,15.0,Delantero centro,,,,Bundesliga,TSG 1899 Hoffenheim,Croacia,32.0,31.0
Kingsley Coman,0.0,1.0,0.0,8.0,6.0,14.0,Extremo izquierdo,Bayern Múnich,Bundesliga,65.0,Bundesliga,Bayern Múnich,Francia,24.0,26.0
Anthony Jung,2.0,0.0,0.0,2.0,5.0,7.0,Defensa central,,,,Bundesliga,SV Werder Bremen,Alemania,34.0,31.0
Willi Orbán,2.0,0.0,0.0,4.0,0.0,4.0,Defensa central,,,,Bundesliga,RB Leipzig,Hungría,33.0,30.0
Emil Forsberg,2.0,0.0,0.0,6.0,4.0,10.0,Mediocentro ofensivo,,,,Bundesliga,RB Leipzig,Suecia,30.0,31.0
Kenan Karaman,2.0,0.0,0.0,1.0,2.0,3.0,Mediocentro ofensivo,,,,Bundesliga,FC Schalke 04,Turquía,21.0,29.0
Márton Dárdai,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,,,,Bundesliga,Hertha Berlín,Hungría,17.0,21.0
Mathys Tel,2.0,0.0,0.0,5.0,0.0,5.0,Delantero centro,Bayern Múnich,Bundesliga,50.0,Bundesliga,Bayern Múnich,Francia,22.0,18.0
Ansgar Knauff,2.0,0.0,0.0,1.0,2.0,3.0,Extremo derecho,,,,Bundesliga,Eintracht Fráncfort​​,Alemania,24.0,21.0
Oliver Christensen,2.0,0.0,0.0,,,,Portero,,,,Bundesliga,Hertha Berlín,Dinamarca,33.0,
Fabian Bredlow,2.0,0.0,0.0,,,,Portero,,,,Bundesliga,VfB Stuttgart,Alemania,15.0,
Jere Uronen,2.0,0.0,0.0,0.0,1.0,1.0,Lateral izquierdo,,,,Bundesliga,FC Schalke 04,Finlandia,11.0,28.0
Timo Werner,2.0,0.0,0.0,9.0,4.0,13.0,Delantero centro,,,,Bundesliga,RB Leipzig,Alemania,27.0,27.0
Julian Brandt,2.0,0.0,0.0,9.0,8.0,17.0,Mediocentro ofensivo,Borussia Dortmund,Bundesliga,40.0,Bundesliga,Borussia Dortmund,Alemania,32.0,27.0
Marvin Friedrich,2.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,Borussia Mönchengladbach,Alemania,23.0,
Adam Hlozek,2.0,0.0,0.0,5.0,4.0,9.0,Delantero centro,Bayer 04 Leverkusen,Bundesliga,15.0,Bundesliga,Bayer 04 Leverkusen,República Checa,29.0,20.0
Woo-yeong Jeong,2.0,0.0,0.0,1.0,2.0,3.0,Mediocentro ofensivo,,,,Bundesliga,SC Friburgo,Corea del Sur,26.0,23.0
Manuel Gulde,2.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,SC Friburgo,Alemania,15.0,
Timo Baumgartl,2.0,0.0,0.0,0.0,1.0,1.0,Defensa central,,,,Bundesliga,1.FC Unión Berlín,Alemania,8.0,27.0
Daniel-Kofi Kyereh,2.0,0.0,0.0,2.0,0.0,2.0,Mediocentro ofensivo,,,,Bundesliga,SC Friburgo,Ghana,12.0,26.0
Ilia Gruev,2.0,0.0,0.0,,,,Pivote,,,,Bundesliga,SV Werder Bremen,Bulgaria,31.0,
Frederik Rönnow,2.0,0.0,0.0,,,,Portero,,,,Bundesliga,1.FC Unión Berlín,Dinamarca,29.0,
Sven Michel,2.0,0.0,0.0,3.0,1.0,4.0,Delantero centro,,,,Bundesliga,1.FC Unión Berlín,Alemania,21.0,32.0
Chris Führich,2.0,0.0,0.0,5.0,2.0,7.0,Extremo izquierdo,VfB Stuttgart,Bundesliga,17.0,Bundesliga,VfB Stuttgart,Alemania,33.0,25.0
Marcel Sabitzer,2.0,0.0,0.0,0.0,1.0,1.0,Mediocentro,Borussia Dortmund,Bundesliga,20.0,Bundesliga,Bayern Múnich,Austria,15.0,29.0
Malick Thiaw,2.0,0.0,0.0,,,,Defensa central,AC Milan,Serie A,30.0,Bundesliga,FC Schalke 04,Alemania,3.0,22.0
Malick Thiaw,5.0,0.0,0.0,,,,Defensa central,AC Milan,Serie A,30.0,Serie A,AC Milan,Alemania,20.0,22.0
Marius Wolf,2.0,0.0,0.0,1.0,2.0,3.0,Lateral derecho,,,,Bundesliga,Borussia Dortmund,Alemania,25.0,28.0
Sepp van den Berg,2.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,FC Schalke 04,Países Bajos,9.0,
Dani Olmo,2.0,0.0,0.0,2.0,5.0,7.0,Mediocentro ofensivo,RB Leipzig,Bundesliga,50.0,Bundesliga,RB Leipzig,España,23.0,25.0
Patrick Herrmann,2.0,0.0,0.0,1.0,0.0,1.0,Extremo derecho,,,,Bundesliga,Borussia Mönchengladbach,Alemania,21.0,32.0
Oliver Baumann,2.0,0.0,0.0,0.0,1.0,1.0,Portero,,,,Bundesliga,TSG 1899 Hoffenheim,Alemania,34.0,32.0
Niklas Süle,2.0,0.0,0.0,2.0,4.0,6.0,Defensa central,Borussia Dortmund,Bundesliga,22.0,Bundesliga,Borussia Dortmund,Alemania,29.0,27.0
Vincenzo Grifo,2.0,0.0,0.0,15.0,5.0,20.0,Extremo izquierdo,SC Friburgo,Bundesliga,12.0,Bundesliga,SC Friburgo,Italia,33.0,30.0
Jonathan Burkardt,2.0,0.0,0.0,1.0,2.0,3.0,Delantero centro,,,,Bundesliga,1.FSV Mainz 05,Alemania,11.0,22.0
Omar Marmoush,2.0,0.0,0.0,5.0,1.0,6.0,Delantero centro,Eintracht Fráncfort​​,Bundesliga,15.0,Bundesliga,VfL Wolfsburgo,Egipto,33.0,24.0
Marcus Ingvartsen,2.0,0.0,0.0,10.0,0.0,10.0,Delantero centro,,,,Bundesliga,1.FSV Mainz 05,Dinamarca,28.0,27.0
Irvin Cardona,2.0,0.0,0.0,1.0,1.0,2.0,Delantero centro,,,,Bundesliga,FC Augsburgo,Francia,10.0,25.0
Stefan Lainer,2.0,0.0,0.0,,,,Lateral derecho,,,,Bundesliga,Borussia Mönchengladbach,Austria,17.0,
Nico Elvedi,2.0,0.0,0.0,3.0,0.0,3.0,Defensa central,Borussia Mönchengladbach,Bundesliga,14.0,Bundesliga,Borussia Mönchengladbach,Suiza,32.0,26.0
Georginio Rutter,2.0,0.0,0.0,2.0,2.0,4.0,Delantero centro,,,,Bundesliga,TSG 1899 Hoffenheim,Francia,15.0,20.0
Abdou Diallo,2.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,RB Leipzig,Senegal,8.0,
Milos Veljkovic,2.0,0.0,0.0,1.0,2.0,3.0,Defensa central,,,,Bundesliga,SV Werder Bremen,Serbia,29.0,27.0
Bruno Fernandes,6.0,0.0,0.0,8.0,8.0,16.0,Mediocentro ofensivo,Manchester United,Premier League,70.0,Premier League,Manchester United,Portugal,37.0,28.0
Tyrell Malacia,6.0,0.0,0.0,,,,Lateral izquierdo,,,,Premier League,Manchester United,Países Bajos,22.0,
Ezri Konsa,6.0,0.0,0.0,,,,Defensa central,Aston Villa,Premier League,35.0,Premier League,Aston Villa,Inglaterra,38.0,26.0
Ivan Perisic,6.0,0.0,0.0,1.0,8.0,9.0,Interior izquierdo,,,,Premier League,Tottenham Hotspur,Croacia,34.0,34.0
Diogo Dalot,6.0,0.0,0.0,1.0,2.0,3.0,Lateral derecho,Manchester United,Premier League,35.0,Premier League,Manchester United,Portugal,26.0,24.0
Kiernan Dewsbury-Hall,3.0,1.0,0.0,2.0,2.0,4.0,Mediocentro,,,,Premier League,Leicester City,Inglaterra,31.0,24.0
Darwin Núñez,1.0,0.0,1.0,9.0,3.0,12.0,Delantero centro,Liverpool FC,Premier League,65.0,Premier League,Liverpool FC,Uruguay,29.0,23.0
João Félix,1.0,0.0,1.0,4.0,3.0,7.0,Extremo izquierdo,,,,Premier League,Chelsea FC,Portugal,16.0,23.0
Mohammed Salisu,5.0,0.0,0.0,0.0,1.0,1.0,Defensa central,AS Mónaco,Ligue 1,15.0,Premier League,Southampton FC,Ghana,22.0,23.0
Kieran Trippier,5.0,0.0,0.0,1.0,7.0,8.0,Lateral derecho,,,,Premier League,Newcastle United,Inglaterra,38.0,32.0
Lucas Digne,5.0,0.0,0.0,,,,Lateral izquierdo,,,,Premier League,Aston Villa,Francia,28.0,
Dan Burn,5.0,0.0,0.0,1.0,0.0,1.0,Lateral izquierdo,,,,Premier League,Newcastle United,Inglaterra,38.0,31.0
Gabriel Magalhães,5.0,0.0,0.0,3.0,0.0,3.0,Defensa central,Arsenal FC,Premier League,60.0,Premier League,Arsenal FC,Brasil,38.0,25.0
Harrison Reed,5.0,0.0,0.0,3.0,4.0,7.0,Mediocentro,,,,Premier League,Fulham FC,Inglaterra,37.0,28.0
Daniel Podence,5.0,0.0,0.0,6.0,0.0,6.0,Extremo derecho,,,,Premier League,Wolverhampton Wanderers,Portugal,32.0,27.0
Wilfried Zaha,5.0,0.0,0.0,7.0,2.0,9.0,Extremo izquierdo,,,,Premier League,Crystal Palace,Costa de Marfil,27.0,30.0
Jacob Ramsey,5.0,0.0,0.0,6.0,7.0,13.0,Mediocentro,Aston Villa,Premier League,42.0,Premier League,Aston Villa,Inglaterra,35.0,22.0
Dwight McNeil,5.0,0.0,0.0,7.0,3.0,10.0,Extremo izquierdo,,,,Premier League,Everton FC,Inglaterra,36.0,23.0
Kevin Paredes,2.0,0.0,0.0,1.0,3.0,4.0,Interior izquierdo,,,,Bundesliga,VfL Wolfsburgo,Estados Unidos,22.0,20.0
Jae-sung Lee,2.0,0.0,0.0,7.0,4.0,11.0,Mediocentro ofensivo,,,,Bundesliga,1.FSV Mainz 05,Corea del Sur,34.0,30.0
Thomas Meunier,2.0,0.0,0.0,,,,Lateral derecho,,,,Bundesliga,Borussia Dortmund,Bélgica,10.0,
Delano Burgzorg,2.0,0.0,0.0,0.0,1.0,1.0,Extremo izquierdo,,,,Bundesliga,1.FSV Mainz 05,Países Bajos,13.0,24.0
Michael Frey,2.0,0.0,0.0,0.0,3.0,3.0,Delantero centro,,,,Bundesliga,FC Schalke 04,Suiza,15.0,28.0
Jesper Lindstrøm,2.0,0.0,0.0,7.0,4.0,11.0,Mediocentro ofensivo,SSC Nápoles,Serie A,25.0,Bundesliga,Eintracht Fráncfort​​,Dinamarca,27.0,23.0
Sadio Mané,2.0,0.0,0.0,7.0,5.0,12.0,Extremo izquierdo,,,,Bundesliga,Bayern Múnich,Senegal,25.0,31.0
Marcel Halstenberg,2.0,0.0,0.0,1.0,2.0,3.0,Defensa central,,,,Bundesliga,RB Leipzig,Alemania,31.0,31.0
Kilian Fischer,2.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Bundesliga,VfL Wolfsburgo,Alemania,10.0,22.0
Giovanni Reyna,2.0,0.0,0.0,7.0,2.0,9.0,Mediocentro ofensivo,Borussia Dortmund,Bundesliga,20.0,Bundesliga,Borussia Dortmund,Estados Unidos,22.0,20.0
Dion Beljo,2.0,0.0,0.0,3.0,3.0,6.0,Delantero centro,,,,Bundesliga,FC Augsburgo,Croacia,18.0,21.0
Mohamed Simakan,2.0,0.0,0.0,1.0,1.0,2.0,Defensa central,RB Leipzig,Bundesliga,35.0,Bundesliga,RB Leipzig,Francia,24.0,23.0
Vasilios Lampropoulos,2.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,VfL Bochum,Grecia,15.0,
Mark Uth,2.0,0.0,0.0,,,,Delantero centro,,,,Bundesliga,FC Colonia,Alemania,3.0,
Josko Gvardiol,2.0,0.0,0.0,1.0,0.0,1.0,Defensa central,Manchester City,Premier League,80.0,Bundesliga,RB Leipzig,Croacia,30.0,21.0
Joe Scally,2.0,0.0,0.0,,,,Lateral derecho,Borussia Mönchengladbach,Bundesliga,12.0,Bundesliga,Borussia Mönchengladbach,Estados Unidos,28.0,21.0
Tiago Tomás,2.0,0.0,0.0,3.0,4.0,7.0,Delantero centro,,,,Bundesliga,VfB Stuttgart,Portugal,27.0,20.0
Christopher Antwi-Adjei,2.0,0.0,0.0,3.0,8.0,11.0,Extremo izquierdo,,,,Bundesliga,VfL Bochum,Ghana,29.0,29.0
Tolga Ciğerci,2.0,0.0,0.0,0.0,1.0,1.0,Pivote,,,,Bundesliga,Hertha Berlín,Turquía,11.0,31.0
Cristian Gamboa,2.0,0.0,0.0,,,,Lateral derecho,,,,Bundesliga,VfL Bochum,Costa Rica,19.0,
Xaver Schlager,2.0,0.0,0.0,1.0,1.0,2.0,Mediocentro,RB Leipzig,Bundesliga,28.0,Bundesliga,RB Leipzig,Austria,22.0,25.0
Florian Neuhaus,2.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,Bundesliga,Borussia Mönchengladbach,Alemania,23.0,26.0
Jonas Hofmann,2.0,0.0,0.0,12.0,10.0,22.0,Mediocentro ofensivo,Bayer 04 Leverkusen,Bundesliga,13.0,Bundesliga,Borussia Mönchengladbach,Alemania,31.0,30.0
Leo Greiml,2.0,0.0,0.0,,,,Defensa central,,,,Bundesliga,FC Schalke 04,Austria,7.0,
Lee Buchanan,2.0,0.0,0.0,1.0,0.0,1.0,Lateral izquierdo,,,,Bundesliga,SV Werder Bremen,Inglaterra,21.0,22.0
Bernardo Silva,5.0,0.0,0.0,4.0,6.0,10.0,Mediocentro ofensivo,Manchester City,Premier League,80.0,Premier League,Manchester City,Portugal,34.0,28.0
Trent Alexander-Arnold,5.0,0.0,0.0,2.0,9.0,11.0,Lateral derecho,Liverpool FC,Premier League,70.0,Premier League,Liverpool FC,Inglaterra,37.0,24.0
Liam Cooper,5.0,0.0,0.0,,,,Defensa central,,,,Premier League,Leeds United,Escocia,18.0,
Declan Rice,5.0,0.0,0.0,4.0,2.0,6.0,Pivote,Arsenal FC,Premier League,110.0,Premier League,West Ham United,Inglaterra,37.0,24.0
Jordan Ayew,5.0,0.0,0.0,4.0,3.0,7.0,Delantero centro,,,,Premier League,Crystal Palace,Ghana,38.0,31.0
Kai Havertz,5.0,0.0,0.0,7.0,1.0,8.0,Mediocentro ofensivo,Arsenal FC,Premier League,55.0,Premier League,Chelsea FC,Alemania,35.0,23.0
Jordan Pickford,5.0,0.0,0.0,0.0,1.0,1.0,Portero,,,,Premier League,Everton FC,Inglaterra,37.0,29.0
Rodri,5.0,0.0,0.0,2.0,6.0,8.0,Pivote,Manchester City,Premier League,110.0,Premier League,Manchester City,España,36.0,26.0
João Gomes,5.0,0.0,0.0,1.0,0.0,1.0,Mediocentro,,,,Premier League,Wolverhampton Wanderers,Brasil,11.0,22.0
Bryan Mbeumo,5.0,0.0,0.0,9.0,8.0,17.0,Extremo derecho,Brentford FC,Premier League,38.0,Premier League,Brentford FC,Camerún,38.0,23.0
Vladimir Coufal,5.0,0.0,0.0,0.0,1.0,1.0,Lateral derecho,,,,Premier League,West Ham United,República Checa,27.0,30.0
Philip Billing,5.0,0.0,0.0,7.0,1.0,8.0,Mediocentro,,,,Premier League,AFC Bournemouth,Dinamarca,36.0,26.0
Ibrahima Konaté,5.0,0.0,0.0,,,,Defensa central,Liverpool FC,Premier League,38.0,Premier League,Liverpool FC,Francia,18.0,24.0
Pascal Struijk,5.0,0.0,0.0,2.0,1.0,3.0,Defensa central,,,,Premier League,Leeds United,Países Bajos,29.0,23.0
Ryan Yates,5.0,0.0,0.0,0.0,2.0,2.0,Mediocentro,,,,Premier League,Nottingham Forest,Inglaterra,26.0,25.0
Mathias Jensen,5.0,0.0,0.0,5.0,6.0,11.0,Mediocentro,,,,Premier League,Brentford FC,Dinamarca,37.0,27.0
Ben White,5.0,0.0,0.0,2.0,5.0,7.0,Lateral derecho,Arsenal FC,Premier League,55.0,Premier League,Arsenal FC,Inglaterra,38.0,25.0
Lucas Paquetá,5.0,0.0,0.0,4.0,3.0,7.0,Mediocentro ofensivo,West Ham United,Premier League,65.0,Premier League,West Ham United,Brasil,28.0,25.0
Antony,5.0,0.0,0.0,4.0,2.0,6.0,Extremo derecho,,,,Premier League,Manchester United,Brasil,25.0,23.0
Thomas Partey,5.0,0.0,0.0,3.0,0.0,3.0,Pivote,,,,Premier League,Arsenal FC,Ghana,33.0,29.0
Mario Lemina,2.0,1.0,0.0,,,,Pivote,,,,Premier League,Wolverhampton Wanderers,Gabón,19.0,
Mario Lemina,1.0,0.0,1.0,,,,Pivote,,,,Ligue 1,OGC Niza,Gabón,14.0,
Lucas Moura,0.0,0.0,1.0,,,,Extremo derecho,,,,Premier League,Tottenham Hotspur,Brasil,15.0,
Nathaniel Chalobah,0.0,0.0,1.0,,,,Pivote,,,,Premier League,Fulham FC,Inglaterra,4.0,
Mahmoud Dahoud,1.0,0.0,0.0,0.0,1.0,1.0,Mediocentro,,,,Bundesliga,Borussia Dortmund,Alemania,9.0,27.0
Thomas Ouwejan,1.0,0.0,0.0,,,,Lateral izquierdo,,,,Bundesliga,FC Schalke 04,Países Bajos,17.0,
Robin Zentner,1.0,0.0,0.0,,,,Portero,,,,Bundesliga,1.FSV Mainz 05,Alemania,26.0,
Ryan Gravenberch,1.0,0.0,0.0,,,,Mediocentro,,,,Bundesliga,Bayern Múnich,Países Bajos,24.0,
Sardar Azmoun,1.0,0.0,0.0,4.0,1.0,5.0,Delantero centro,,,,Bundesliga,Bayer 04 Leverkusen,Irán,23.0,28.0
Silvere Ganvoula,1.0,0.0,0.0,,,,Delantero centro,,,,Bundesliga,VfL Bochum,Congo,16.0,
